detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,
HARRIS,29.4109,433,ORB,2.6123,MAT_BF,SEL_KNN,4.63278,99,8.3988,13,23.2992,
HARRIS,26.999,299,SIFT,35.5634,
HARRIS,36.6281,820,SIFT,65.3817,MAT_BF,SEL_KNN,10.1231,43,12.5156,8,nan,
HARRIS,27.3665,319,SIFT,35.7321,MAT_BF,SEL_KNN,11.5035,276,12.6142,17,40.5324,
HARRIS,35.4603,583,SIFT,54.9096,MAT_BF,SEL_KNN,7.6976,66,14.091,8,-62.3075,
HARRIS,40.1696,940,SIFT,72.2165,MAT_BF,SEL_KNN,23.6295,116,16.6894,6,-12.3064,
HARRIS,40.263,913,SIFT,73.3642,MAT_BF,SEL_KNN,36.697,202,15.7466,20,21.9148,
HARRIS,42.5847,1008,SIFT,78.1409,MAT_BF,SEL_KNN,39.703,225,12.7834,23,17.7482,
HARRIS,47.1041,1149,SIFT,85.0894,MAT_BF,SEL_KNN,50.1016,213,11.9844,22,10.9806,
HARRIS,33.6656,677,SIFT,55.973,MAT_BF,SEL_KNN,32.917,320,13.1241,26,15.3465,
HARRIS,27.8007,364,SIFT,37.7341,MAT_BF,SEL_KNN,10.3356,169,13.0241,12,nan,
HARRIS,43.2668,1028,SIFT,77.5038,MAT_BF,SEL_KNN,16.3302,74,11.1746,4,nan,
HARRIS,28.9592,466,SIFT,44.194,MAT_BF,SEL_KNN,21.1153,298,12.8086,25,nan,
HARRIS,31.7366,581,SIFT,50.7084,MAT_BF,SEL_KNN,12.7016,150,8.95978,5,11.414,
HARRIS,32.4137,634,SIFT,54.4707,MAT_BF,SEL_KNN,17.1598,188,9.96439,27,13.301,
HARRIS,29.3363,443,SIFT,42.7488,MAT_BF,SEL_KNN,13.2933,215,9.59863,25,-6.00781,
HARRIS,45.0311,1082,SIFT,81.5256,MAT_BF,SEL_KNN,21.3911,97,8.52157,15,nan,
HARRIS,36.8217,817,SIFT,65.2614,MAT_BF,SEL_KNN,37.4425,270,9.51556,14,10.9157,
HARRIS,27.6927,340,SIFT,37.2537,MAT_BF,SEL_KNN,12.1878,258,9.61238,14,nan,
HARRIS,29.58,433,SIFT,43.9299,MAT_BF,SEL_KNN,6.27621,110,8.3988,17,nan,
HARRIS,26.8644,299,BRISK,3.98524,
HARRIS,37.5578,820,BRISK,8.69688,MAT_BF,SEL_KNN,14.647,38,12.5156,2,nan,
HARRIS,27.0962,319,BRISK,4.43164,MAT_BF,SEL_KNN,15.7793,166,12.6142,13,19.5571,
HARRIS,31.6047,583,BRISK,6.49892,MAT_BF,SEL_KNN,12.4244,74,14.091,9,10.7715,
HARRIS,40.4508,940,BRISK,9.75344,MAT_BF,SEL_KNN,33.1443,88,16.6894,10,nan,
HARRIS,39.1387,913,BRISK,9.50347,MAT_BF,SEL_KNN,49.7588,161,15.7466,17,13.4193,
